Designator,Mid X,Mid Y,Rotation,Layer
BT1,53.95,-101.15,0.0,bottom
C1,50.322349,-83.875,0.0,top
D2,52.695,-50.675,0.0,top
D3,73.22,-51.1,0.0,top
D4,52.92,-67.375,0.0,top
D5,72.73,-67.4,0.0,top
M1,45.3,-90.72,0.0,top
Q1,76.88,-105.94,0.0,top
Q2,52.505,-56.69,0.0,bottom
Q3,72.975,-56.635,0.0,bottom
Q4,52.65,-72.685,0.0,bottom
Q5,72.93,-73.19,0.0,bottom
R1,52.715,-49.075,0.0,bottom
R10,80.525,-68.865,90.0,bottom
R11,72.695,-65.725,0.0,bottom
R12,72.69,-68.925,0.0,bottom
R19,74.625,-84.1,0.0,top
R2,52.69,-52.15,0.0,bottom
R20,67.475,-96.01,270.0,top
R21,74.625,-92.2,0.0,top
R22,74.625,-96.25,0.0,top
R23,74.625,-100.3,0.0,top
R3,59.325,-52.19,90.0,bottom
R4,80.7,-52.565,90.0,bottom
R5,73.0,-49.5,0.0,bottom
R6,73.03,-52.625,0.0,bottom
R7,60.0,-68.89,90.0,bottom
R8,52.49,-65.675,0.0,bottom
R9,52.44,-68.725,0.0,bottom
SW2,61.95,-85.525,0.0,top
SW3,52.725,-57.75,0.0,top
SW4,72.95,-58.175,0.0,top
SW5,52.575,-74.5,0.0,top
SW6,72.775,-74.55,0.0,top
